restaurant_id,name,picture,detail_url,latitude,longitude
34,ル・メッサージュ,https://tblg.k-img.com/restaurant/images/Rvw/3092/320x320_square_3092402.jpg,https://tabelog.com/kanagawa/A1401/A140306/14030304/,35.4235189,139.6011585
35,ル バー ラヴァン サンカンドゥ アザブ トウキョウ 関内店,https://tblg.k-img.com/restaurant/images/Rvw/139836/320x320_square_139836702.jpg,https://tabelog.com/kanagawa/A1401/A140104/14057024/,35.4469819,139.6400509
36,BiOsteria Komakine,https://tblg.k-img.com/restaurant/images/Rvw/32958/320x320_square_32958826.jpg,https://tabelog.com/kanagawa/A1401/A140306/14011292/,35.4300429,139.60957
37,肉山 横浜,https://tblg.k-img.com/restaurant/images/Rvw/92267/320x320_square_92267776.jpg,https://tabelog.com/kanagawa/A1401/A140105/14068671/,35.4408026,139.64975
38,ピルグリム・ナインティーンス・クラブ,https://tblg.k-img.com/restaurant/images/Rvw/24830/320x320_square_24830919.jpg,https://tabelog.com/kanagawa/A1401/A140104/14000694/,35.4486814,139.6361687
39,IL PINOLO SKY TERRACE 横浜,https://tblg.k-img.com/restaurant/images/Rvw/97939/320x320_square_97939890.jpg,https://tabelog.com/kanagawa/A1401/A140101/14003084/,35.4656313,139.625749
40,オービカ モッツァレラバー 横浜店,https://tblg.k-img.com/restaurant/images/Rvw/30337/320x320_square_30337166.jpg,https://tabelog.com/kanagawa/A1401/A140101/14055393/,35.4650642,139.6204845
41,RIO GRANDE GRILL 横浜ベイクォーター,https://tblg.k-img.com/restaurant/images/Rvw/73377/320x320_square_73377593.jpg,https://tabelog.com/kanagawa/A1401/A140101/14054425/,35.4661808,139.6273379
42,炭火焼イタリアン 海串 ブラーチェ,https://tblg.k-img.com/restaurant/images/Rvw/18462/320x320_square_18462443.jpg,https://tabelog.com/kanagawa/A1401/A140101/14037770/,35.4670839,139.6188124
43,ギリシャ料理&バー OLYMPIA,https://tblg.k-img.com/restaurant/images/Rvw/37529/320x320_square_37529233.jpg,https://tabelog.com/kanagawa/A1401/A140104/14004726/,35.446782,139.638827
44,KANDY,https://tblg.k-img.com/restaurant/images/Rvw/123752/320x320_square_123752465.jpg,https://tabelog.com/kanagawa/A1401/A140105/14033142/,35.4394211,139.6478821
45,大徳壽,https://tblg.k-img.com/restaurant/images/Rvw/105957/320x320_square_105957753.jpg,https://tabelog.com/kanagawa/A1401/A140104/14001870/,35.4438022,139.6342231
46,FORESTARIA,https://tblg.k-img.com/restaurant/images/Rvw/73751/320x320_square_73751614.jpg,https://tabelog.com/kanagawa/A1401/A140307/14066546/,35.4085011,139.5938914
47,レ・サンス,https://tblg.k-img.com/restaurant/images/Rvw/124974/320x320_square_124974403.jpg,https://tabelog.com/kanagawa/A1401/A140201/14001948/,35.5734744,139.5555279
48,橙家 横浜みなとみらい東急スクエア店,https://tblg.k-img.com/restaurant/images/Rvw/89027/320x320_square_89027363.jpg,https://tabelog.com/kanagawa/A1401/A140103/14001683/,35.456631,139.634593
49,goffo,https://tblg.k-img.com/restaurant/images/Rvw/59206/320x320_square_59206156.jpg,https://tabelog.com/kanagawa/A1401/A140101/14063516/,35.465175,139.6132639
50,hanasaku,https://tblg.k-img.com/restaurant/images/Rvw/31186/320x320_square_31186484.jpg,https://tabelog.com/kanagawa/A1401/A140102/14056127/,35.4496042,139.6295995
51,オステリア イタリアーナ コバ,https://tblg.k-img.com/restaurant/images/Rvw/100606/320x320_square_100606574.jpg,https://tabelog.com/kanagawa/A1401/A140205/14069038/,35.5154359,139.6317968
52,ジンジャーズビーチ,https://tblg.k-img.com/restaurant/images/Rvw/109117/320x320_square_109117976.jpg,https://tabelog.com/kanagawa/A1401/A140212/14014714/,35.4677464,139.6265506
53,シェフズ・ブイ 横浜ランドマークタワー店,https://tblg.k-img.com/restaurant/images/Rvw/58258/320x320_square_58258087.jpg,https://tabelog.com/kanagawa/A1401/A140103/14004938/,35.454363,139.631516
54,匠家33,https://tblg.k-img.com/restaurant/images/Rvw/25864/320x320_square_25864417.jpg,https://tabelog.com/kanagawa/A1401/A140104/14051741/,35.4451616,139.6360482
