cafe_id,name,picture,detail_url,latitude,longitude
27,モンレオン,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/a038ab95f279494130f13e6f27c72b39/1063715983601be459ed2cc_user.jpg,https://cafesnap.me/c/9777,35.4431674,139.6328463
28,焼菓子工務店,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/fb69d271aad785e9ac9389e57e4e71fd/8293504260138dd85f29d_image.jpg,https://cafesnap.me/c/11721,35.4869651,139.6223268
29,minato coffee,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/1d5139e1d4b437f62e31572730062fa2/157608238601116cbdbe87_image.jpg,https://cafesnap.me/c/11404,35.4558328,139.6327446
30,コーヒースタイルUCC,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/9638eaf1bf7580f58dc5b4d934fe2fb0/7383398506010147b016b6_user.jpg,https://cafesnap.me/c/10138,35.4643705,139.6204128
31,トラヤカフェ・あんスタンド　横浜店,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/9638eaf1bf7580f58dc5b4d934fe2fb0/101728125660101288b604e_user.jpg,https://cafesnap.me/c/14417,35.4671442,139.6230141
32,珈琲苑,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/a038ab95f279494130f13e6f27c72b39/1753508045600d44d19208c_user.jpg,https://cafesnap.me/c/9684,35.5138942,139.6741717
33,Sky produce by TOSHI YOROIZUKA,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/fb69d271aad785e9ac9389e57e4e71fd/592137043600baf3f41276_image.jpg,https://cafesnap.me/c/14733,35.4965587,139.6214257
34,Cafe issui,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/0e82978c56dfdcb42ee4d5fa2e104cc9/1146415486600ab7b1164af_user.jpg,https://cafesnap.me/c/13640,35.5537193,139.6448705
35,しょうゆ きゃふぇ,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/5bc2909e6d3b460e4bb6b32e22dce048/158822946460044a31e99dd_user.jpg,https://cafesnap.me/c/1911,35.4409703,139.6501756
36,プルメリアカフェ,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/5bc2909e6d3b460e4bb6b32e22dce048/5856888426004480de5c13_user.jpg,https://cafesnap.me/c/11540,35.4658237,139.6175086
37,果実園リーベル 横浜ランドマークプラザ店,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/5bc2909e6d3b460e4bb6b32e22dce048/154298627360043ece7f0a9_user.jpg,https://cafesnap.me/c/10837,35.4556963,139.6321834
38,無,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/a038ab95f279494130f13e6f27c72b39/3659815126002df39e454d_user.jpg,https://cafesnap.me/c/9710,35.4412303,139.6499666
39,pukutto食堂,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/d3aa70d95ffa4bc84107228ead91881a/197235492860024e8da76e0_image.jpg,https://cafesnap.me/c/1763,35.5211088,139.6294523
40,アジアンカフェ 883 ,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/d3aa70d95ffa4bc84107228ead91881a/16153812536000f6a844460_image.jpg,https://cafesnap.me/c/8510,35.5683766,139.5527152
41,JIKE STUDIO,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/e7817315a992fac4160463063d0199a2/19230816465ffcd42b6cca1_user.jpg,https://cafesnap.me/c/2387,35.5712446,139.5082321
42,エレーナ,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/d3aa70d95ffa4bc84107228ead91881a/21321059475ffbd220a71b2_image.jpg,https://cafesnap.me/c/7259,35.43595,139.6449402
43,Pain de U,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/fb69d271aad785e9ac9389e57e4e71fd/1934405355ff5a350338cc_image.jpg,https://cafesnap.me/c/14573,35.4770416,139.6316531
44,CAFE シトカ,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/a5aa6aa16f56014eaec52dcc3dc007f7/8378082275ff3c2b494a0e_user.jpg,https://cafesnap.me/c/11882,35.4309553,139.630026
45,COFFEE AND BEER &9,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/1b66dc397c116441d6d8ba212f5f48d4/15150134245fed9f247ec52_user.jpg,https://cafesnap.me/c/14451,35.4651769,139.6216332
46,横濱珈琲店 五番街,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/a038ab95f279494130f13e6f27c72b39/191686885feada03ef5cf_user.jpg,https://cafesnap.me/c/9619,35.4644724,139.6201092
47,カフェ　アメンドロ,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/22a11e3d1eee149af25a7bebf87147ed/8387316935fe87bfe8ec22_user.jpg,https://cafesnap.me/c/12604,35.4880521,139.626316
48,Cafe de UN,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/a038ab95f279494130f13e6f27c72b39/10166835725fe82df53605f_user.jpg,https://cafesnap.me/c/10077,35.4788105,139.6314815
49,CAFE Elliott Avenue,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/cd8b252deeff172c004d4f10d21b7948/8027660585fe7f8f450763_image.jpg,https://cafesnap.me/c/893,35.4433772,139.6521821
50,TERA COFFEE and ROASTER 白楽店,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/fb69d271aad785e9ac9389e57e4e71fd/8070773025fe6ca91b559c_image.jpg,https://cafesnap.me/c/9747,35.4902069,139.6277088
51,【休業中】コの字カフェ,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/a038ab95f279494130f13e6f27c72b39/15376603025fddf508b9848_user.jpg,https://cafesnap.me/c/11719,35.5437532,139.627813
52,ecomo bakery YOKOHAMA MOTOMACHI,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/22a11e3d1eee149af25a7bebf87147ed/1034231525fdcc2fb6dde6_user.jpg,https://cafesnap.me/c/3857,35.4415054,139.6509431
53,Pâtisserie Cafe Sora,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/22a11e3d1eee149af25a7bebf87147ed/11821432975fdcc1d26ee88_user.jpg,https://cafesnap.me/c/13669,35.4916583,139.6297697
54,モデル,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/22a11e3d1eee149af25a7bebf87147ed/20368073315fdcc101ac80c_user.jpg,https://cafesnap.me/c/9301,35.4397416,139.6423616
55,京はやしや そごう横浜店,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/fb69d271aad785e9ac9389e57e4e71fd/4734181315fdc32d31418e_image.jpg,https://cafesnap.me/c/13290,35.4650325,139.6249642
56,UNI COFFEE ROASTERY,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/fb69d271aad785e9ac9389e57e4e71fd/2665563285fd99fe2354b1_image.jpg,https://cafesnap.me/c/14126,35.4632419,139.6154701
57,水信フルーツパーラー,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/50bbab1b7346ede12a44b7213226e59d/10773973145fd7f6ca9e799_image.jpg,https://cafesnap.me/c/14216,35.4509653,139.6359248
